iter	Accuracy	Logloss
452	0.8731093562	0.3346809813
453	0.8731093562	0.3346807852
454	0.8729755053	0.3345886647
455	0.8735109088	0.3342862911
456	0.8736447597	0.3340940765
457	0.8741801633	0.3338778106
458	0.8740463124	0.3337125884
459	0.8743140142	0.3336168079
460	0.8740463124	0.3332768214
461	0.8744478651	0.3330318312
462	0.874581716	0.3327518423
463	0.8744478651	0.3326944916
464	0.874581716	0.3325175705
465	0.8751171195	0.3323355843
466	0.8748494177	0.3322081057
467	0.8755186722	0.3319944541
468	0.8755186722	0.3319938659
469	0.875786374	0.3315680331
470	0.8756525231	0.3314207187
471	0.8755186722	0.3312583395
472	0.8753848213	0.3311457296
473	0.8753848213	0.330984004
474	0.8756525231	0.3308305788
475	0.8759202249	0.3305148397
476	0.8756525231	0.3303206644
477	0.8759202249	0.3297874176
478	0.8760540758	0.3294266476
479	0.8760540758	0.3292667193
480	0.8760540758	0.3292663272
481	0.8763217775	0.329023363
482	0.8764556284	0.3286234769
483	0.8768571811	0.3284327002
484	0.8768571811	0.3284325695
485	0.8768571811	0.3283239137
486	0.8768571811	0.3283231947
487	0.8771248829	0.3280605581
488	0.8775264356	0.3278592589
489	0.8776602864	0.3276266538
490	0.8779279882	0.3274613336
491	0.87819569	0.3271381765
492	0.87819569	0.3270287364
493	0.87819569	0.3268148233
494	0.8779279882	0.3265833619
495	0.8783295409	0.3264058853
496	0.8787310936	0.3262403037
497	0.8788649445	0.3259342047
498	0.8791326462	0.3257977395
499	0.879400348	0.3254312182
500	0.8795341989	0.3251682874
501	0.8795341989	0.3250403513
502	0.8795341989	0.3249675438
503	0.8799357516	0.3248072233
504	0.8798019007	0.3247647741
505	0.8796680498	0.3246644512
506	0.8804711551	0.3245780494
507	0.8803373042	0.3244799161
508	0.8807388569	0.3242895315
509	0.880605006	0.324197411
510	0.8800696025	0.3239397088
511	0.8803373042	0.3236440996
512	0.8802034534	0.3235210326
513	0.8807388569	0.323305649
514	0.8808727078	0.3230525218
515	0.8811404096	0.3229367094
516	0.8814081114	0.3227007711
517	0.8814081114	0.3225170202
518	0.8814081114	0.3224148348
519	0.8814081114	0.3221567078
520	0.8815419623	0.321920508
521	0.8816758131	0.3216921184
522	0.8816758131	0.3214604282
523	0.8820773658	0.3212615473
524	0.8822112167	0.320908228
525	0.8822112167	0.3208496355
526	0.8824789185	0.3205229818
527	0.883014322	0.3199849313
528	0.8831481729	0.319893497
529	0.8838174274	0.3197027857
530	0.8836835765	0.3194918463
531	0.8840851292	0.3193711975
532	0.8839512783	0.3191730355
533	0.8840851292	0.3189096146
534	0.8840851292	0.318649004
535	0.8843528309	0.3184001904
536	0.8844866818	0.3181979762
537	0.8844866818	0.3178241675
538	0.8847543836	0.3177190083
539	0.8843528309	0.3174713057
540	0.8843528309	0.3173455591
541	0.8844866818	0.3171092286
542	0.8850220854	0.3169533851
543	0.8847543836	0.3168409059
544	0.8847543836	0.3168261026
545	0.8848882345	0.3166194115
546	0.8851559363	0.3165212781
547	0.8852897872	0.3163849437
548	0.8856913398	0.316283183
549	0.8851559363	0.3160750867
550	0.885557489	0.3159120213
551	0.8858251907	0.3157543478
552	0.8859590416	0.3154854042
553	0.8859590416	0.3153847873
554	0.8859590416	0.3152796281
555	0.8858251907	0.3151706782
556	0.8856913398	0.3149259493
557	0.8858251907	0.3146738352
558	0.8858251907	0.3146254384
559	0.8856913398	0.3144873393
560	0.8858251907	0.3143639782
561	0.8864944452	0.314145915
562	0.886762147	0.3139287994
563	0.8863605943	0.3137122721
564	0.8868959979	0.3135327041
565	0.8876991032	0.3132431077
566	0.8878329541	0.3130992246
567	0.8876991032	0.3127766557
568	0.887966805	0.3125692129
569	0.887966805	0.3123606918
570	0.8881006559	0.3121625951
571	0.8886360594	0.3118120535
572	0.8887699103	0.3116605889
573	0.8887699103	0.3114984385
574	0.8883683576	0.3113605682
575	0.8889037612	0.311098193
576	0.8889037612	0.3110511033
577	0.8886360594	0.3109338858
578	0.8882345068	0.3106442894
579	0.8883683576	0.310570959
580	0.8886360594	0.3104042336
581	0.8886360594	0.3103373082
582	0.8890376121	0.3101455511
583	0.8889037612	0.3099476831
584	0.889171463	0.3098130806
585	0.8890376121	0.3096932488
586	0.8890376121	0.3095685479
587	0.8887699103	0.3094593365
588	0.8887699103	0.3093673467
589	0.8889037612	0.3092916308
590	0.8887699103	0.3092283326
591	0.889171463	0.3089858913
592	0.8889037612	0.3088814183
593	0.8886360594	0.3087295289
594	0.8886360594	0.3084743103
595	0.8890376121	0.3083313421
596	0.889171463	0.3080390662
597	0.889171463	0.3078732884
598	0.8889037612	0.307678721
599	0.8890376121	0.3075404585
600	0.8890376121	0.3074523901
601	0.8894391648	0.3070786795
602	0.8894391648	0.306919176
603	0.8897068666	0.3065290935
604	0.8897068666	0.3064434106
605	0.8899745683	0.3062975667
606	0.8898407174	0.3062274715
607	0.8894391648	0.3060559424
608	0.8895730157	0.305983723
609	0.8898407174	0.3058851648
610	0.8897068666	0.3056163193
611	0.8898407174	0.305552531
612	0.8902422701	0.3053993998
613	0.8901084192	0.3053257753
614	0.8907776737	0.3050441198
615	0.8910453755	0.3049221312
616	0.8913130772	0.3047590004
617	0.8919823317	0.3045176375
618	0.8921161826	0.3042099046
619	0.8921161826	0.3040650084
620	0.8921161826	0.3040216768
621	0.8919823317	0.3039188704
622	0.8923838844	0.3038553108
623	0.8923838844	0.3035890469
624	0.8925177352	0.3034972859
625	0.892785437	0.3033145807
626	0.892785437	0.3032454658
627	0.8929192879	0.3031866773
628	0.8926515861	0.3028735852
629	0.892785437	0.302749309
630	0.892785437	0.3025671594
631	0.8925177352	0.3024194202
632	0.8929192879	0.3022250488
633	0.8929192879	0.3019994369
634	0.8935885424	0.3016389937
635	0.8933208406	0.3014338058
636	0.8935885424	0.301173522
637	0.8935885424	0.3010480041
638	0.8938562441	0.3008903306
639	0.8941239459	0.3007687668
640	0.8942577968	0.3005386453
641	0.8943916477	0.3003790111
642	0.8945254986	0.3000984013
643	0.8946593495	0.2999649426
644	0.8947932004	0.299887462
645	0.8945254986	0.2997486113
646	0.8947932004	0.29959499
647	0.8949270513	0.2994709426
648	0.8957301566	0.299199254
649	0.8958640075	0.2991743857
650	0.8961317093	0.2989356371
651	0.8959978584	0.2988471112
652	0.8958640075	0.2986939473
653	0.8955963057	0.2985059809
654	0.8961317093	0.2982040975
655	0.8968009637	0.2979845311
656	0.8969348146	0.2978297987
657	0.8970686655	0.2977071565
658	0.8970686655	0.2976120949
659	0.8970686655	0.297511674
660	0.8970686655	0.2973314524
661	0.8970686655	0.2970950566
662	0.8970686655	0.2969802573
663	0.8970686655	0.2969028094
664	0.8972025164	0.296678047
665	0.8974702182	0.2965330528
666	0.8976040691	0.2963880912
667	0.8980056217	0.2962845986
668	0.8982733235	0.2960053614
669	0.8982733235	0.2957688348
670	0.8982733235	0.2957531492
671	0.8984071744	0.2956311279
672	0.8982733235	0.2955282561
673	0.8982733235	0.2954830618
674	0.8984071744	0.2953125784
675	0.8982733235	0.295160591
676	0.8981394726	0.2951391866
677	0.8982733235	0.2950258905
678	0.8985410253	0.2947964551
679	0.8988087271	0.2946799565
680	0.8988087271	0.2945886203
681	0.8988087271	0.2944680041
682	0.8988087271	0.294292619
683	0.898942578	0.2940802418
684	0.8988087271	0.294079915
685	0.8986748762	0.2939473059
686	0.898942578	0.2938642046
687	0.8992102797	0.2938111348
688	0.8994779815	0.2936729704
689	0.8994779815	0.2934803963
690	0.8993441306	0.2932622024
691	0.8992102797	0.2931664872
692	0.8992102797	0.2931664546
693	0.8998795342	0.2930380283
694	0.8997456833	0.2929551558
695	0.8993441306	0.2927610785
696	0.8994779815	0.292641312
697	0.8994779815	0.2925168725
698	0.8994779815	0.2924671686
699	0.8996118324	0.2924086742
700	0.8994779815	0.2923009007
701	0.8997456833	0.2922181589
702	0.8994779815	0.2920856805
703	0.8993441306	0.2919632998
704	0.8997456833	0.2918322919
705	0.8996118324	0.2915867461
706	0.8990764289	0.2914864886
707	0.8993441306	0.2913217566
708	0.8992102797	0.2912553867
709	0.8993441306	0.2910438919
710	0.8996118324	0.2908376255
711	0.900147236	0.2907239046
712	0.900147236	0.2905749889
713	0.9009503413	0.2902200357
